City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
280,cody,44.5263,-109.0565,22.92,46,0,3.13,US,1725483069
281,kargasok,59.0556,80.8572,8.18,75,100,3.71,RU,1725483070
282,mumford,5.2618,-0.759,23.26,90,4,6.31,GH,1725483071
283,sitka,57.0531,-135.33,13.94,88,100,2.06,US,1725483073
284,aral,40.5156,81.2636,21.68,35,59,4.13,CN,1725483074
285,campoverde,-8.4753,-74.8058,32.83,21,4,0.96,PE,1725483075
286,colonia,50.9333,6.95,18.87,91,100,1.54,DE,1725483076
287,lascano,-33.6667,-54.2,11.5,75,100,1.73,UY,1725483078
288,fort st. john,56.2499,-120.8529,15.94,51,20,1.54,CA,1725483079
289,laojunmiao,39.8333,97.7333,11.03,68,96,2.66,CN,1725483081
290,kourou,5.1552,-52.6478,28.11,76,100,2.57,GF,1725483082
291,nguruka,-5.1092,31.0419,24.59,36,70,1.13,TZ,1725483083
292,solnechnogorsk,56.1833,36.9833,10.73,71,6,2.63,RU,1725483084
293,nueva gerona,21.8833,-82.8,31.6,65,17,4.65,CU,1725483086
294,baker city,44.7749,-117.8344,28.84,26,0,1.54,US,1725483022
295,sao joao da barra,-21.6403,-41.0511,26.05,86,0,4.45,BR,1725483088
296,yashkul',46.1711,45.3435,21.74,27,100,3.43,RU,1725483090
297,lukolela,-1.0605,17.1821,22.72,83,9,1.63,CD,1725483091
298,gorom-gorom,14.4439,-0.2361,24.76,85,100,6.35,BF,1725483093
299,antsiranana,-12.2787,49.2917,23.07,73,4,7.58,MG,1725483094
300,katsuren-haebaru,26.3369,127.8719,28.01,92,0,1.54,JP,1725483095
301,mamuju,-2.6748,118.8885,24.53,94,100,2.56,ID,1725483097
302,east london,-33.0153,27.9116,18.29,86,100,4.07,ZA,1725483098
303,jindabyne,-36.4167,148.6333,10.94,37,72,4.59,AU,1725483099
304,mgandu,-5.95,34.1333,19.44,44,41,4.96,TZ,1725483101
305,kingston,17.997,-76.7936,27.53,78,75,9.77,JM,1725483102
306,yenangyaung,20.4667,94.8833,25.4,90,73,4.65,MM,1725483103
307,akureyri,65.6835,-18.0878,14.96,72,75,7.2,IS,1725483104
308,mili,6.0815,171.735,28.18,79,100,5.92,MH,1725483106
309,taoudenni,22.6783,-3.9836,37.98,29,24,2.61,ML,1725483107
310,beyneu,45.3167,55.2,24.19,22,100,2.45,KZ,1725483109
311,mpika,-11.8343,31.4529,13.78,53,22,2.28,ZM,1725483110
312,dunedin,-45.8742,170.5036,9.89,81,87,2.84,NZ,1725483111
313,puerto maldonado,-12.6,-69.1833,35.22,46,0,2.57,PE,1725483113
314,bandarbeyla,9.4942,50.8122,23.67,85,59,12.76,SO,1725483114
315,aykhal,66.0,111.5,2.38,96,100,6.93,RU,1725483115
316,las heras,-46.5419,-68.9359,9.07,41,100,8.36,AR,1725483116
317,kasongo-lunda,-6.4667,16.8167,28.19,39,70,1.11,CD,1725483118
318,callao,-12.0667,-77.15,16.16,77,100,2.57,PE,1725483119
319,novaya igirma,57.1334,103.9112,6.99,98,100,1.33,RU,1725483120
320,priob'ye,62.5206,65.5964,8.0,70,74,2.57,RU,1725483122
321,coruripe,-10.1256,-36.1756,22.97,73,34,3.54,BR,1725483123
322,dalandzadgad,43.5708,104.425,13.11,57,0,2.97,MN,1725483124
323,pasuquin,18.3328,120.6177,24.97,94,100,1.54,PH,1725483126
324,vallenar,-28.5708,-70.7581,27.4,20,0,2.15,CL,1725483127
325,kupang,-10.1667,123.5833,26.32,69,2,3.6,ID,1725483128
326,ar raqqah,35.95,39.0167,26.83,61,0,8.82,SY,1725483129
327,belokurikha,51.9959,84.9896,12.64,55,100,2.31,RU,1725483131
328,namibe,-15.1961,12.1522,18.92,83,79,1.18,AO,1725483132
329,kuta,-8.7233,115.1723,25.97,94,20,2.57,ID,1725483133
330,bhabhua,25.05,83.6167,29.23,66,88,1.84,IN,1725483135
331,aligudarz,33.4006,49.6949,21.15,20,0,1.98,IR,1725483136
332,ust'-barguzin,53.45,108.9833,7.03,84,96,1.83,RU,1725483137
333,mekhe,15.1097,-16.6218,26.39,75,100,5.97,SN,1725483139
334,kripens'kyy,48.0771,39.058,22.31,20,73,6.21,UA,1725483140
335,yuzhno-kurilsk,44.0306,145.8556,16.8,85,2,2.68,RU,1725483141
336,jilib,0.4883,42.7854,23.63,89,27,3.08,SO,1725483143
337,khadan khak,30.7477,67.7085,21.56,28,0,3.73,PK,1725483144
338,nasir,15.5894,32.5634,34.65,39,45,3.32,SD,1725483145
339,ciudad bolivar,8.1222,-63.5497,32.11,56,100,2.33,VE,1725483147
340,rumbek,6.802,29.6912,22.07,96,85,2.04,SS,1725483148
341,palmer,42.1584,-72.3287,25.85,44,40,0.45,US,1725483149
342,arraial do cabo,-22.9661,-42.0278,23.98,83,20,6.69,BR,1725483150
343,twon-brass,4.3151,6.2418,25.73,87,15,4.57,NG,1725483152
344,namie,37.4833,141.0,21.1,93,79,1.88,JP,1725483153
345,chingirlau,51.095,54.0814,12.27,58,8,4.22,KZ,1725483154
346,tirumullaivasal,11.2333,79.8333,28.36,67,85,5.91,IN,1725483156
347,kasane,-17.8167,25.15,16.31,34,15,2.46,BW,1725483157
348,corn island,12.1694,-83.0418,29.29,73,100,3.77,NI,1725483159
349,chany,55.3121,76.7647,8.82,91,100,7.19,RU,1725483160
350,luena,-11.7833,19.9167,14.38,27,0,1.6,AO,1725483161
351,al qadarif,14.0349,35.3834,20.52,87,100,2.13,SD,1725483163
352,picos,-7.0769,-41.4669,29.76,20,39,2.06,BR,1725483061
353,jucurutu,-6.0339,-37.0203,31.43,33,48,8.23,BR,1725483165
354,morrope,-6.5417,-80.0111,20.63,63,2,8.11,PE,1725483166
355,inari,68.906,27.0288,15.13,66,100,5.39,FI,1725483168
356,pingzhuang,42.0372,119.2889,16.45,75,100,5.01,CN,1725483169
357,dori,14.0354,-0.0345,24.11,91,100,6.37,BF,1725483170
358,amahai,-3.3333,128.9167,24.77,88,66,1.62,ID,1725483172
359,santanyi,39.3546,3.1291,22.48,75,0,3.9,ES,1725483173
360,laguna,38.421,-121.4238,37.75,26,0,3.09,US,1725483174
361,puerto aysen,-45.4,-72.7,5.03,100,100,2.34,CL,1725483176
362,kabare,-2.4683,28.8242,17.44,79,23,1.29,CD,1725483177
